algorithm,run_number,run_duration,iterations,cost
Baseline,0,0.0234220027923584,,45691
Baseline,0,0.008594989776611328,,47635
Baseline,0,0.08642101287841797,,46240
Baseline,0,0.03406715393066406,,45286
Baseline,0,0.021714210510253906,,47878
Baseline,0,0.02950882911682129,,47788
Baseline,0,0.01293802261352539,,47725
Baseline,0,0.027493000030517578,,49669
Baseline,0,0.010881185531616211,,47932
Baseline,0,0.03372979164123535,,48445
Baseline,0,0.013102054595947266,,48184
Baseline,0,0.05470705032348633,,47761
Baseline,0,0.009938955307006836,,47293
Baseline,0,0.0025641918182373047,,47149
Baseline,0,0.002609729766845703,,46924
Baseline,0,0.010119199752807617,,47086
Baseline,0,0.006396055221557617,,47653
Baseline,0,0.026813983917236328,,47878
Baseline,0,0.018275976181030273,,46996
Baseline,0,0.011072874069213867,,47140
Baseline,0,0.009037256240844727,,47635
Baseline,0,0.011358022689819336,,46024
Baseline,0,0.01905989646911621,,47050
Baseline,0,0.01779007911682129,,45925
Baseline,0,0.020112037658691406,,47032
Baseline,0,0.0052640438079833984,,47635
Baseline,0,0.026295900344848633,,46123
Baseline,0,0.027554035186767578,,48481
Baseline,0,0.006865024566650391,,47203
Baseline,0,0.011056184768676758,,48544
Baseline,0,0.002794981002807617,,48103
Baseline,0,0.011266946792602539,,48886
Baseline,0,0.0069789886474609375,,47131
Baseline,0,0.007052898406982422,,47923
Baseline,0,0.01326608657836914,,49138
Baseline,0,0.04171895980834961,,49084
Baseline,0,0.01515507698059082,,48733
Baseline,0,0.015285968780517578,,48553
Baseline,0,0.004957914352416992,,48265
Baseline,0,0.007043123245239258,,48490
Baseline,0,0.0029959678649902344,,49003
Baseline,0,0.02336597442626953,,46753
Baseline,0,0.01921987533569336,,47635
Baseline,0,0.008987188339233398,,47797
Baseline,0,0.011166810989379883,,47698
Baseline,0,0.030192852020263672,,47185
Baseline,0,0.01676487922668457,,49066
Baseline,0,0.02361011505126953,,46294
Baseline,0,0.002931833267211914,,48238
Baseline,0,0.005209922790527344,,46699
Baseline,0,0.015604257583618164,,47023
Baseline,0,0.021954774856567383,,47347
Baseline,0,0.005091190338134766,,48184
Baseline,0,0.013483047485351562,,47248
Baseline,0,0.00954294204711914,,47176
Baseline,0,0.005035877227783203,,47401
Baseline,0,0.01993703842163086,,48760
Baseline,0,0.01817607879638672,,47167
Baseline,0,0.003240823745727539,,50074
Baseline,0,0.031167030334472656,,50794
Baseline,0,0.022465944290161133,,48544
Baseline,0,0.014816045761108398,,49246
Baseline,0,0.006659746170043945,,45988
Baseline,0,0.01458120346069336,,46879
Baseline,0,0.006296873092651367,,47473
Baseline,0,0.012392044067382812,,48535
Baseline,0,0.03553009033203125,,46690
Baseline,0,0.010745048522949219,,48769
Baseline,0,0.013326168060302734,,47680
Baseline,0,0.005045890808105469,,47491
Baseline,0,0.01127004623413086,,46024
Baseline,0,0.011400938034057617,,47059
Baseline,0,0.00527501106262207,,49381
Baseline,0,0.005195140838623047,,48274
Baseline,0,0.011487960815429688,,47320
Baseline,0,0.05171990394592285,,47797
Baseline,0,0.005307912826538086,,49255
Baseline,0,0.019973039627075195,,47635
Baseline,0,0.005240917205810547,,47887
Baseline,0,0.03897714614868164,,47536
Baseline,0,0.006850004196166992,,48634
Baseline,0,0.00468897819519043,,48625
Baseline,0,0.01774001121520996,,47194
Baseline,0,0.019721031188964844,,46942
Baseline,0,0.004457950592041016,,48364
Baseline,0,0.004564046859741211,,47347
Baseline,0,0.008234024047851562,,48652
Baseline,0,0.018069982528686523,,50587
Baseline,0,0.0025119781494140625,,46987
Baseline,0,0.009881258010864258,,47104
Baseline,0,0.01983785629272461,,47248
Baseline,0,0.004870891571044922,,49255
Baseline,0,0.008250236511230469,,48238
Baseline,0,0.00470280647277832,,48490
Baseline,0,0.05501198768615723,,48022
Baseline,0,0.0066051483154296875,,47239
Baseline,0,0.004825115203857422,,49345
Baseline,0,0.0364069938659668,,46798
Baseline,0,0.008685827255249023,,45610
Baseline,0,0.015162229537963867,,47572
Baseline,0,0.018989086151123047,,48166
Baseline,0,0.030215740203857422,,47509
Baseline,0,0.14164304733276367,,47509
Baseline,0,0.009975910186767578,,48769
Baseline,0,0.004437923431396484,,46627
Baseline,0,0.02068018913269043,,47635
Baseline,0,0.02549910545349121,,47077
Baseline,0,0.009264707565307617,,49894
Baseline,0,0.003026247024536133,,48940
Baseline,0,0.026768922805786133,,49921
Baseline,0,0.0032262802124023438,,49165
Baseline,0,0.020053625106811523,,47005
Baseline,0,0.0031783580780029297,,48517
Baseline,0,0.009671926498413086,,48382
Baseline,0,0.01346588134765625,,47653
Baseline,0,0.027070999145507812,,48058
Baseline,0,0.00520014762878418,,47032
Baseline,0,0.011581897735595703,,48166
Baseline,0,0.0074481964111328125,,48742
Baseline,0,0.007599830627441406,,47050
Baseline,0,0.014137029647827148,,48400
Baseline,0,0.0032651424407958984,,49975
Baseline,0,0.007766008377075195,,48373
Baseline,0,0.0075299739837646484,,46825
Baseline,0,0.007380962371826172,,47158
Baseline,0,0.003117084503173828,,47095
Baseline,0,0.02470088005065918,,47599
Baseline,0,0.03334403038024902,,49705
Baseline,0,0.0030667781829833984,,47662
Baseline,0,0.009777069091796875,,47914
Baseline,0,0.002969026565551758,,47203
Baseline,0,0.0054569244384765625,,48229
Baseline,0,0.02408599853515625,,46798
Baseline,0,0.02968907356262207,,48913
Baseline,0,0.007443904876708984,,47221
Baseline,0,0.0034208297729492188,,50011
Baseline,0,0.013892173767089844,,47644
Baseline,0,0.0034589767456054688,,49093
Baseline,0,0.020108938217163086,,47914
Baseline,0,0.0030090808868408203,,48949
Baseline,0,0.009594202041625977,,48364
Baseline,0,0.0030138492584228516,,47959
Baseline,0,0.013760089874267578,,48058
Baseline,0,0.009998083114624023,,48958
Baseline,0,0.03156304359436035,,47347
Baseline,0,0.06148481369018555,,48112
Baseline,0,0.020443201065063477,,47779
Baseline,0,0.005079746246337891,,48211
Baseline,0,0.06344318389892578,,48499
Baseline,0,0.018922805786132812,,46870
Baseline,0,0.012902975082397461,,48796
Baseline,0,0.008420944213867188,,47203
Baseline,0,0.035909175872802734,,48499
Baseline,0,0.0029039382934570312,,46861
Baseline,0,0.028406143188476562,,47815
Baseline,0,0.009350061416625977,,47023
Baseline,0,0.005012989044189453,,47914
Baseline,0,0.028512001037597656,,47626
Baseline,0,0.015993833541870117,,48535
Baseline,0,0.006823062896728516,,47113
Baseline,0,0.030160903930664062,,48976
Baseline,0,0.01989603042602539,,47437
Baseline,0,0.022697925567626953,,49147
Baseline,0,0.016916990280151367,,47608
Baseline,0,0.010834932327270508,,46888
Baseline,0,0.023441076278686523,,47941
